D Init,Timestep,D Cur
1e-06,0,9.99999999999999954748111825886258685613938723690807819366455078125E-7
1e-06,1,0.000001999999999987222109496223652
1e-06,2,0.000003999999999923333218992773849
1e-06,3,0.000007999999999642222037989466222
1e-06,4,0.00001599999999846666647601550529
1e-06,5,0.00003199999999366222175234449211
1e-06,6,0.00006399999997423999902728043133
1e-06,7,0.0001279999998961422201556268191
1e-06,8,0.0002559999995829333299531188065
1e-06,9,0.0005119999983284622214625090239
1e-06,10,0.001023999993307306713572589525
1e-06,11,0.002047999973216142704603350573
1e-06,12,0.004095999892838404074091255228
1e-06,13,0.008191999571301295246906600242
1e-06,14,0.01638399828510063840464981970
1e-06,15,0.03276799314019426457993511522
1e-06,16,0.06553597256036684925699482013
1e-06,17,0.1310718902406979309562038335
1e-06,18,0.2621435609616604070712245546
1e-06,19,0.5242862438476399012889479044
1e-06,20,1.048568975418643137507384823
1e-06,21,2.097123901939431253631129198
1e-06,22,4.194191609956907506511072643
1e-06,23,8.388158457580627369357804850
1e-06,24,16.77541797264815324442042098
1e-06,25,33.54724102952264227215847953
1e-06,26,67.08010922572873132266345714
1e-06,27,134.1027816852948910903732983
1e-06,28,267.9762517082774076396226743
1e-06,29,535.0387219437544616939498934
1e-06,30,1066.449754193515437651787761
1e-06,31,2118.603783687005627873217365
1e-06,32,4181.676934306799331372126972
1e-06,33,8153.456402176121507274794953
1e-06,34,15551.75392607090846897123565
1e-06,35,28601.70965969358736722509968
1e-06,36,49867.21312888440242675222048
1e-06,37,81296.82053666838666720224877
1e-06,38,123287.2879460594890485163473
1e-06,39,174556.0933948308901345299590
1e-06,40,232747.6139893515642203309767
1e-06,41,295155.1883757753662047804640
1e-06,42,359208.3652504164423669720504
1e-06,43,422711.9128568391189234114645
1e-06,44,483926.1062582666049798113346
1e-06,45,541563.4820569097146005130355
1e-06,46,594746.4180494596172485445267
1e-06,47,642948.9164946102915844249869
1e-06,48,685934.5105510045592627459829
1e-06,49,723696.3172438408616583119071
1e-06,50,756402.2181020574615574954422
1.0280447320933098e-06,0,0.00000102804473209330978375974051386432250865254900418221950531005859375
1.0280447320933098e-06,1,0.000002056089464173115069114230101
1.0280447320933098e-06,2,0.000004112178928292211938998864871
1.0280447320933098e-06,3,0.000008224357856368351492300079612
1.0280447320933098e-06,4,0.00001644871571187241344183226553
1.0280447320933098e-06,5,0.00003289743142028766805482598247
1.0280447320933098e-06,6,0.00006579486282674670112472532253
1.0280447320933098e-06,7,0.0001315897255981788629793186050
1.0280447320933098e-06,8,0.0002631794509750995679183984532
1.0280447320933098e-06,9,0.0005263589010651665070516940617
1.0280447320933098e-06,10,0.001052717798590202524917076328
1.0280447320933098e-06,11,0.002105435583019883304090397934
1.0280447320933098e-06,12,0.004210871109397681314691502720
1.0280447320933098e-06,13,0.008421741992227034970890249533
1.0280447320933098e-06,14,0.01684348307818086743320432353
1.0280447320933098e-06,15,0.03368696253126978983872251933
1.0280447320933098e-06,16,0.06737391056217871960123129762
1.0280447320933098e-06,17,0.1347477631229693591041975725
1.0280447320933098e-06,18,0.2694952942408292783024866689
1.0280447320933098e-06,19,0.5389896604647638223332537483
1.0280447320933098e-06,20,1.077975608890292613560164066
1.0280447320933098e-06,21,2.155936369850391601283320180
1.0280447320933098e-06,22,4.311813349793904703536238045
1.0280447320933098e-06,23,8.623389154470247814075214656
1.0280447320933098e-06,24,17.24582824453042217759646243
1.0280447320933098e-06,25,34.48785715959091458749744406
1.0280447320933098e-06,26,68.96052442169259833044044694
1.0280447320933098e-06,27,137.8603485371175144531844664
1.0280447320933098e-06,28,275.4783688516819993194165050
1.0280447320933098e-06,29,549.9911886871685889503223432
1.0280447320933098e-06,30,1096.149973935868026498220113
1.0280447320933098e-06,31,2177.203705031020511009884352
1.0280447320933098e-06,32,4295.813641533350915746955207
1.0280447320933098e-06,33,8370.478151679360722097948484
1.0280447320933098e-06,34,15947.37222258562676395570429
1.0280447320933098e-06,35,29276.41520582884181517180696
1.0280447320933098e-06,36,50918.13469399612602690275192
1.0280447320933098e-06,37,82773.61560075054790423864671
1.0280447320933098e-06,38,125168.5363562289760419973028
1.0280447320933098e-06,39,176763.1701202468950845517049
1.0280447320933098e-06,40,235175.0730883611422842186873
1.0280447320933098e-06,41,297695.5641004975342025260298
1.0280447320933098e-06,42,361765.9458494429802675344263
1.0280447320933098e-06,43,425208.3794177331686668447476
1.0280447320933098e-06,44,486301.6175034992040192597060
1.0280447320933098e-06,45,543775.5239185531669717232489
1.0280447320933098e-06,46,596767.6765589012091743404910
1.0280447320933098e-06,47,644764.8202603059178205908070
1.0280447320933098e-06,48,687540.7704273240625105099578
1.0280447320933098e-06,49,725096.6276156090511977704140
1.0280447320933098e-06,50,757606.1987217433825637815638
1.056875971184805e-06,0,0.0000010568759711848049810439982565402061709392000921070575714111328125
1.056875971184805e-06,1,0.000002113751942355337380535131314
1.056875971184805e-06,2,0.000004227503884653584434859187321
1.056875971184805e-06,3,0.000008455007769078807142126768853
1.056875971184805e-06,4,0.00001691001553724416737391178588
1.056875971184805e-06,5,0.00003382003107083454676845362438
1.056875971184805e-06,6,0.00006764006212705394162100642488
1.056875971184805e-06,7,0.0001352801241956472755910412792
1.056875971184805e-06,8,0.0002705602481574521205439699518
1.056875971184805e-06,9,0.0005411204953795345220495223573
1.056875971184805e-06,10,0.001082240987017590196598757986
1.056875971184805e-06,11,0.002164481959069265233181004088
1.056875971184805e-06,12,0.004328963858274871661844055799
1.056875971184805e-06,13,0.008657927477095122790866518702
1.056875971184805e-06,14,0.01731585399637188093157720650
1.056875971184805e-06,15,0.03463170416147124310369688973
1.056875971184805e-06,16,0.06926339299785992989577626502
1.056875971184805e-06,17,0.1385267246954497842779492159
1.056875971184805e-06,18,0.2770532041903004630687237512
1.056875971184805e-06,19,0.5541054275820540559930749201
1.056875971184805e-06,20,1.108206932000716714282230261
1.056875971184805e-06,21,2.216398171594231195888138165
1.056875971184805e-06,22,4.432733575530475452854640735
1.056875971184805e-06,23,8.865216096194221247460811278
1.056875971184805e-06,24,17.72942809902154761467035615
1.056875971184805e-06,25,35.45484083302830884171102762
1.056875971184805e-06,26,70.89362826806592835616333536
1.056875971184805e-06,27,141.7231073519970428516330446
1.056875971184805e-06,28,283.1901318151076974779887503
1.056875971184805e-06,29,565.3600203607818478175870577
1.056875971184805e-06,30,1126.671418568813788263266879
1.056875971184805e-06,31,2237.401612002440444738117652
1.056875971184805e-06,32,4412.980030211052764752838393
1.056875971184805e-06,33,8592.974475829907474453182777
1.056875971184805e-06,34,16352.09513568454148013038870
1.056875971184805e-06,35,29964.44400930447151514735448
1.056875971184805e-06,36,51985.54628008202090162477795
1.056875971184805e-06,37,84267.42684648803841630856995
1.056875971184805e-06,38,127064.5714023536948672767632
1.056875971184805e-06,39,178981.1396408503405174396736
1.056875971184805e-06,40,237609.0497292605247983794299
1.056875971184805e-06,41,300238.3545396759908027604818
1.056875971184805e-06,42,364322.4647684924566210592287
1.056875971184805e-06,43,427701.0450911850722486344668
1.056875971184805e-06,44,488671.3116078859966053939084
1.056875971184805e-06,45,545980.3833919703385351546313
1.056875971184805e-06,46,598780.9437707765327313869143
1.056875971184805e-06,47,646572.3805531171604397002656
1.056875971184805e-06,48,689138.6958349085035605832660
1.056875971184805e-06,49,726488.8866363400820338027818
1.056875971184805e-06,50,758802.6086502094799149758833
1.0865157746525372e-06,0,0.00000108651577465253717616239410859169112200106610544025897979736328125
1.0865157746525372e-06,1,0.000002173031549289990036522132113
1.0865157746525372e-06,2,0.000004346063098519642592530903718
1.0865157746525372e-06,3,0.000008692126196797935263011716124
1.0865157746525372e-06,4,0.00001738425239263046996863725309
1.0865157746525372e-06,5,0.00003476850478139933927252695144
1.0865157746525372e-06,6,0.00006953700954735227554009420710
1.0865157746525372e-06,7,0.0001390740190329189397694442952
1.0865157746525372e-06,8,0.0002781480378186954335712645471
1.0865157746525372e-06,9,0.0005562960746488210872100337179
1.0865157746525372e-06,10,0.001112592145343363085637796137
1.0865157746525372e-06,11,0.002225184274869610065397075485
1.0865157746525372e-06,12,0.004450368486470757701952162798
1.0865157746525372e-06,13,0.008900736719867681644132480395
1.0865157746525372e-06,14,0.01780147242744015589394040881
1.0865157746525372e-06,15,0.03560294080570050336218021318
1.0865157746525372e-06,16,0.07120586541468994223671121847
1.0865157746525372e-06,17,0.1424116660426009801517026478
1.0865157746525372e-06,18,0.2848230729386091705963118068
1.0865157746525372e-06,19,0.5696451092950297798620676679
1.0865157746525372e-06,20,1.139286072294765724035800433
1.0865157746525372e-06,21,2.278555559676033456949609349
1.0865157746525372e-06,22,4.557044781839398960342845857
1.0865157746525372e-06,23,9.113824230757201516611225466
1.0865157746525372e-06,24,18.22658726683635887083804258
1.0865157746525372e-06,25,36.44893085063924371776817213
1.0865157746525372e-06,26,72.88089572837087105395153558
1.0865157746525372e-06,27,145.6939975398316895649631237
1.0865157746525372e-06,28,291.1173776295669027607338388
1.0865157746525372e-06,29,581.1567260813592898904030119
1.0865157746525372e-06,30,1158.036463778493683855501768
1.0865157746525372e-06,31,2299.239816865124818084481307
1.0865157746525372e-06,32,4533.251918334720349357032519
1.0865157746525372e-06,33,8821.068068210969703915947500
1.0865157746525372e-06,34,16766.08759294894721293878563
1.0865157746525372e-06,35,30665.95575562321328545663581
1.0865157746525372e-06,36,53069.52600754892619832718907
1.0865157746525372e-06,37,85778.21322108456570243835707
1.0865157746525372e-06,38,128975.2607951132102783103216
1.0865157746525372e-06,39,181209.8300197015485205661818
1.0865157746525372e-06,40,240049.3715348124398890970045
1.0865157746525372e-06,41,302783.4076439870276351763858
1.0865157746525372e-06,42,366877.7983893559967162137444
1.0865157746525372e-06,43,430189.8159262421918394888197
1.0865157746525372e-06,44,491035.1222099855242819141488
1.0865157746525372e-06,45,548178.0182037034839283410714
1.0865157746525372e-06,46,600786.1975390111839732916123
1.0865157746525372e-06,47,648371.5914233828429292308748
1.0865157746525372e-06,48,690728.2933643728784381010842
1.0865157746525372e-06,49,727873.1101727387633929208574
1.0865157746525372e-06,50,759991.4702048883210878395055
1.1169868184678225e-06,0,0.00000111698681846782254024094509226028293369381572119891643524169921875
1.1169868184678225e-06,1,0.000002233973636919702774416626341
1.1169868184678225e-06,2,0.000004467947273775636324572652382
1.1169868184678225e-06,3,0.000008935894547296195752106544176
1.1169868184678225e-06,4,0.00001787178909357208302249771615
1.1169868184678225e-06,5,0.00003574357818306293301195639767
1.1169868184678225e-06,6,0.00007148715634980093389362065185
1.1169868184678225e-06,7,0.0001429743126343021392809846900
1.1169868184678225e-06,8,0.0002859486250074053659430074213
1.1169868184678225e-06,9,0.0005718972489700150857959159556
1.1169868184678225e-06,10,0.001143794493760847621173633341
1.1169868184678225e-06,11,0.002287588970804965311525769883
1.1169868184678225e-06,12,0.004575177874743013066575906096
1.1169868184678225e-06,13,0.009150355482018373242646720305
1.1169868184678225e-06,14,0.01830070989416627361074654616
1.1169868184678225e-06,15,0.03660141550885176522170446412
1.1169868184678225e-06,16,0.07320281389978927842496326420
1.1169868184678225e-06,17,0.1464055593279925565188227686
1.1169868184678225e-06,18,0.2928108447702091720384165253
1.1169868184678225e-06,19,0.5856205940018590368300231941
1.1169868184678225e-06,20,1.171236805885836084996298810
1.1169868184678225e-06,21,2.342456083590979519301130932
1.1169868184678225e-06,22,4.684842056785764975127828268
1.1169868184678225e-06,23,9.369403690597671911947188705
1.1169868184678225e-06,24,18.73768583816015756788763374
1.1169868184678225e-06,25,37.47088669462812404054600395
1.1169868184678225e-06,26,74.92384297914718542495874970
1.1169868184678225e-06,27,149.7760403404639450109337769
1.1169868184678225e-06,28,299.2661046256944222013859538
1.1169868184678225e-06,29,597.3931283133119288787129395
1.1169868184678225e-06,30,1190.268076404251152430052006
1.1169868184678225e-06,31,2362.761682961787430041937269
1.1169868184678225e-06,32,4656.706777700104918805162488
1.1169868184678225e-06,33,9054.883609750124591431818209
1.1169868184678225e-06,34,17189.51555343425541965063717
1.1169868184678225e-06,35,31381.10832811239641546760211
1.1169868184678225e-06,36,54170.14748778070699659546311
1.1169868184678225e-06,37,87305.92916164634900422621165
1.1169868184678225e-06,38,130900.4696870726528082293255
1.1169868184678225e-06,39,183449.0686827501688907043454
1.1169868184678225e-06,40,242495.8666478445787747903486
1.1169868184678225e-06,41,305330.5724048423211100916473
1.1169868184678225e-06,42,369431.8242847412663342985091
1.1169868184678225e-06,43,432674.5991266307357892119253
1.1169868184678225e-06,44,493392.9839819533588474956857
1.1169868184678225e-06,45,550368.3869602686651031076492
1.1169868184678225e-06,46,602783.4164378663157399823230
1.1169868184678225e-06,47,650162.4474895302698390237227
1.1169868184678225e-06,48,692309.5700361744739817767085
1.1169868184678225e-06,49,729249.3144000586757928857422
1.1169868184678225e-06,50,761172.8059083162615877407846
1.1483124145435112e-06,0,0.000001148312414543511196483318269334628070055259740911424160003662109375
1.1483124145435112e-06,1,0.000002296624829070173319739281053
1.1483124145435112e-06,2,0.000004593249658072950346569634614
1.1483124145435112e-06,3,0.000009186499315876315980832480663
1.1483124145435112e-06,4,0.00001837299863067429265314448593
1.1483124145435112e-06,5,0.00003674599725703522825619021411
1.1483124145435112e-06,6,0.00007349199449681702794655068459
1.1483124145435112e-06,7,0.0001469839889246203423809044198
1.1483124145435112e-06,8,0.0002939679775731858304016857142
1.1483124145435112e-06,9,0.0005879359540421522479274277710
1.1483124145435112e-06,10,0.001175871903667426880867471551
1.1483124145435112e-06,11,0.002351743789667343596973797381
1.1483124145435112e-06,12,0.004703487508664648889590047325
1.1483124145435112e-06,13,0.009406974734649163397834671868
1.1483124145435112e-06,14,0.01881394833857793995538361311
1.1483124145435112e-06,15,0.03762789215427553803704461519
1.1483124145435112e-06,16,0.07525576621703935247174333690
1.1483124145435112e-06,17,0.1505114600681089615601045948
1.1483124145435112e-06,18,0.3010226306729561559924091294
1.1483124145435112e-06,19,0.6020441034978028658435267437
1.1483124145435112e-06,20,1.204083575642668464015291526
1.1483124145435112e-06,21,2.408148626189584599579493612
1.1483124145435112e-06,22,4.816223154524015543169108652
1.1483124145435112e-06,23,9.632149937848369450195803373
1.1483124145435112e-06,24,19.26311455263544646860502929
1.1483124145435112e-06,25,38.52148910644045074972281137
1.1483124145435112e-06,26,77.02402855713802160948961899
1.1483124145435112e-06,27,153.9723410843284610706807107
1.1483124145435112e-06,28,307.6424768222205894252365923
1.1483124145435112e-06,29,614.0813711305443382576276241
1.1483124145435112e-06,30,1223.389829025552553295906036
1.1483124145435112e-06,31,2428.011647042145423461062215
1.1483124145435112e-06,32,4783.423757186375107927604943
1.1483124145435112e-06,33,9294.547763525104247555505611
1.1483124145435112e-06,34,17622.54592766957169186227446
1.1483124145435112e-06,35,32110.05767485192528164281111
1.1483124145435112e-06,36,55287.47976407017831740676100
1.1483124145435112e-06,37,88850.52465054939860162316563
1.1483124145435112e-06,38,132840.0607595112933413423441
1.1483124145435112e-06,39,185698.6824802713543126619307
1.1483124145435112e-06,40,244948.3637623431345948081924
1.1483124145435112e-06,41,307879.6988659276110384819408
1.1483124145435112e-06,42,371984.4212194992185946409909
1.1483124145435112e-06,43,435155.3030470806790158037229
1.1483124145435112e-06,44,495744.8326237969291071804601
1.1483124145435112e-06,45,552551.4491417796381535097807
1.1483124145435112e-06,46,604772.5797556606749874673925
1.1483124145435112e-06,47,651944.9439322611270465357862
1.1483124145435112e-06,48,693882.5332954363018708997853
1.1483124145435112e-06,49,730617.5157976308296385985971
1.1483124145435112e-06,50,762346.6384843741080332639927
1.1805165285688055e-06,0,0.000001180516528568805484597525369550030660548145533539354801177978515625
1.1805165285688055e-06,1,0.000002361033057119803703723160307
1.1805165285688055e-06,2,0.000004722066114168378109455990392
1.1805165285688055e-06,3,0.000009444132228051838554748346270
1.1805165285688055e-06,4,0.00001888826445496400626399389236
1.1805165285688055e-06,5,0.00003777652890536932895736899906
1.1805165285688055e-06,6,0.00007555305779250392401222862155
1.1805165285688055e-06,7,0.0001511061155120689124320235522
1.1805165285688055e-06,8,0.0003022122307323820826351428639
1.1805165285688055e-06,9,0.0006044244602977412011078597190
1.1805165285688055e-06,10,0.001208848915927390586009240747
1.1805165285688055e-06,11,0.002417697813182414225661201962
1.1805165285688055e-06,12,0.004835395551675363224280205348
1.1805165285688055e-06,13,0.009670790804592886006035828763
1.1805165285688055e-06,14,0.01934158041415457396392726270
1.1805165285688055e-06,15,0.03868315604818566551638298899
1.1805165285688055e-06,16,0.07736629297588787962777403339
1.1805165285688055e-06,17,0.1547325094699257794362413492
1.1805165285688055e-06,18,0.3094647130131222439806886119
1.1805165285688055e-06,19,0.6189282023246920312287374841
1.1805165285688055e-06,20,1.237851509886092142078863548
1.1805165285688055e-06,21,2.475683441062351597291631706
1.1805165285688055e-06,22,4.951288570031920287422824267
1.1805165285688055e-06,23,9.902263913662978035673305646
1.1805165285688055e-06,24,19.80327509745084808803458315
1.1805165285688055e-06,25,39.60154068068727555317389837
1.1805165285688055e-06,26,79.18305453816109755617999882
1.1805165285688055e-06,27,158.2860915145681267260710874
1.1805165285688055e-06,28,316.2528284299481565879673346
1.1805165285688055e-06,29,631.2339286809570951191104893
1.1805165285688055e-06,30,1257.425914851150946504662894
1.1805165285688055e-06,31,2495.035241856226326180055294
1.1805165285688055e-06,32,4913.483705665744184732189627
1.1805165285688055e-06,33,9540.189167422586432874572293
1.1805165285688055e-06,34,18065.34649424737045909834648
1.1805165285688055e-06,35,32852.95767588501625010178925
1.1805165285688055e-06,36,56421.58725756890893798777970
