,curve_idx,target,sample_type,sample_id,igi_call,cycle_no,Fn,rn,groundtruth,Igi_call_quant,groundtruth_target
39,24879,S gene,Buffer Negative Control (Extraction),S279472,Negative,40,205625.86,205625.859375,-1,0,0
79,24111,N gene,Buffer Negative Control (Extraction),S279472,Negative,40,146572.06,146572.0625,-1,0,0
119,24495,ORF1ab,Buffer Negative Control (Extraction),S279472,Negative,40,278083.16,278083.15625,-1,0,0
159,25017,S gene,Buffer Negative Control (Extraction),S304886,Negative,40,188829.33,188829.328125,-1,0,0
199,24249,N gene,Buffer Negative Control (Extraction),S304886,Negative,40,125114.2,125114.203125,-1,0,0
239,24633,ORF1ab,Buffer Negative Control (Extraction),S304886,Negative,40,238013.67,238013.671875,-1,0,0
279,25041,S gene,Buffer Negative Control (Extraction),S305077,Negative,40,192239.67,192239.671875,-1,0,0
319,24273,N gene,Buffer Negative Control (Extraction),S305077,Negative,40,156421.89,156421.890625,-1,0,0
359,24657,ORF1ab,Buffer Negative Control (Extraction),S305077,Negative,40,247568.4,247568.40625,-1,0,0
399,25088,S gene,Buffer Negative Control (Extraction),S304935,Negative,40,192866.11,192866.109375,-1,0,0
439,24320,N gene,Buffer Negative Control (Extraction),S304935,Negative,40,132912.77,132912.765625,-1,0,0
479,24704,ORF1ab,Buffer Negative Control (Extraction),S304935,Negative,40,255671.83,255671.828125,-1,0,0
524,70879,E gene,Buffer Negative Control (Extraction),S1038250,Negative,45,375102.94,375102.9375,-1,0,0
569,71263,N gene,Buffer Negative Control (Extraction),S1038250,Negative,45,122022.734,122022.734375,-1,0,0
614,27759,E gene,Buffer Negative Control (Extraction),S741204,Negative,45,384436.3,384436.3125,-1,0,0
659,28143,N gene,Buffer Negative Control (Extraction),S741204,Negative,45,81122.625,81122.625,-1,0,0
704,27782,E gene,Buffer Negative Control (Extraction),S741202,Negative,45,393795.88,393795.875,-1,0,0
749,28166,N gene,Buffer Negative Control (Extraction),S741202,Negative,45,142635.25,142635.25,-1,0,0
794,27801,E gene,Buffer Negative Control (Extraction),S741203,Negative,45,407429.66,407429.65625,-1,0,0
839,28185,N gene,Buffer Negative Control (Extraction),S741203,Negative,45,100130.78,100130.78125,-1,0,0
884,27831,E gene,Buffer Negative Control (Extraction),S741197,Negative,45,397292.44,397292.4375,-1,0,0
929,28215,N gene,Buffer Negative Control (Extraction),S741197,Negative,45,87337.19,87337.1875,-1,0,0
974,67423,E gene,Buffer Negative Control (Extraction),S741150,Negative,45,760688.7,760688.6875,-1,0,0
1019,67807,N gene,Buffer Negative Control (Extraction),S741150,Negative,45,205418.45,205418.453125,-1,0,0
1064,67568,E gene,Buffer Negative Control (Extraction),S741148,Negative,45,446215.25,446215.25,-1,0,0
1109,67952,N gene,Buffer Negative Control (Extraction),S741148,Negative,45,109985.48,109985.4765625,-1,0,0
1154,61807,E gene,Buffer Negative Control (Extraction),S953299,Negative,45,267210.72,267210.71875,-1,0,0
1199,62191,N gene,Buffer Negative Control (Extraction),S953299,Negative,45,124453.72,124453.71875,-1,0,0
1244,114751,E gene,Buffer Negative Control (Extraction),S1070596,Negative,45,431296.97,431296.96875,-1,0,0
1289,115135,N gene,Buffer Negative Control (Extraction),S1070596,Negative,45,178632.22,178632.21875,-1,0,0
1334,114752,E gene,Buffer Negative Control (Extraction),S1070597,Negative,45,414111.53,414111.53125,-1,0,0
1379,115136,N gene,Buffer Negative Control (Extraction),S1070597,Negative,45,170200.22,170200.21875,-1,0,0
1424,60319,E gene,Buffer Negative Control (Extraction),S953293,Negative,45,253413.9,253413.90625,-1,0,0
1469,60703,N gene,Buffer Negative Control (Extraction),S953293,Negative,45,125031.06,125031.0625,-1,0,0
1514,60320,E gene,Buffer Negative Control (Extraction),S953294,Negative,45,260014.56,260014.5625,-1,0,0
1559,60704,N gene,Buffer Negative Control (Extraction),S953294,Negative,45,127640.05,127640.046875,-1,0,0
1604,11380,E gene,Buffer Negative Control (Extraction),S604017,Negative,45,122368.56,122368.5625,-1,0,0
1649,11764,N gene,Buffer Negative Control (Extraction),S604017,Negative,45,110525.12,110525.1171875,-1,0,0
1694,11565,E gene,Buffer Negative Control (Extraction),S604033,Negative,45,121008.59,121008.59375,-1,0,0
1739,11949,N gene,Buffer Negative Control (Extraction),S604033,Negative,45,99805.21,99805.2109375,-1,0,0
1784,103183,E gene,Buffer Negative Control (Extraction),S1070576,Negative,45,205048.44,205048.4375,-1,0,0
1829,103567,N gene,Buffer Negative Control (Extraction),S1070576,Negative,45,81438.2,81438.203125,-1,0,0
1874,103232,E gene,Buffer Negative Control (Extraction),S1070579,Negative,45,205713.84,205713.84375,-1,0,0
1919,103616,N gene,Buffer Negative Control (Extraction),S1070579,Negative,45,87975.31,87975.3125,-1,0,0
1964,55858,E gene,Buffer Negative Control (Extraction),S953349,Negative,45,276607.34,276607.34375,-1,0,0
2009,56242,N gene,Buffer Negative Control (Extraction),S953349,Negative,45,120890.695,120890.6953125,-1,0,0
2054,55894,E gene,Buffer Negative Control (Extraction),S953348,Negative,45,272515.25,272515.25,-1,0,0
2099,56278,N gene,Buffer Negative Control (Extraction),S953348,Negative,45,110463.055,110463.0546875,-1,0,0
2144,64015,E gene,Buffer Negative Control (Extraction),S953302,Negative,45,191466.34,191466.34375,-1,0,0
2189,64399,N gene,Buffer Negative Control (Extraction),S953302,Negative,45,98350.49,98350.4921875,-1,0,0
2234,117966,E gene,Buffer Negative Control (Extraction),S1230390,Negative,45,216650.9,216650.90625,-1,0,0
2279,118350,N gene,Buffer Negative Control (Extraction),S1230390,Negative,45,85611.055,85611.0546875,-1,0,0
2324,118207,E gene,Buffer Negative Control (Extraction),S1230386,Negative,45,277526.72,277526.71875,-1,0,0
2369,118591,N gene,Buffer Negative Control (Extraction),S1230386,Negative,45,107131.086,107131.0859375,-1,0,0
2414,3721,E gene,Buffer Negative Control (Extraction),S603965,Negative,45,154078.02,154078.015625,-1,0,0
2459,4105,N gene,Buffer Negative Control (Extraction),S603965,Negative,45,142178.67,142178.671875,-1,0,0
2504,3823,E gene,Buffer Negative Control (Extraction),S603984,Negative,45,146615.45,146615.453125,-1,0,0
2549,4207,N gene,Buffer Negative Control (Extraction),S603984,Negative,45,141843.84,141843.84375,-1,0,0
