,curve_idx,target,sample_type,sample_id,igi_call,cycle_no,Fn,rn,groundtruth,split,Igi_call_quant,groundtruth_target
39,24933,S gene,Negative Control (qPCR),S252611,Negative,40,193254.12,193254.125,-1,train,0,0
79,24165,N gene,Negative Control (qPCR),S252611,Negative,40,125421.22,125421.21875,-1,train,0,0
119,24549,ORF1ab,Negative Control (qPCR),S252611,Negative,40,243693.6,243693.59375,-1,train,0,0
159,23781,MS2,Negative Control (qPCR),S252611,Negative,40,231175.3,231175.296875,-1,train,0,0
199,24934,S gene,Negative Control (qPCR),S305273,Negative,40,190481.0,190481.0,-1,val,0,0
239,24166,N gene,Negative Control (qPCR),S305273,Negative,40,122601.78,122601.78125,-1,val,0,0
279,24550,ORF1ab,Negative Control (qPCR),S305273,Negative,40,232959.47,232959.46875,-1,val,0,0
319,23782,MS2,Negative Control (qPCR),S305273,Negative,40,224188.44,224188.4375,-1,val,0,0
359,24957,S gene,Negative Control (qPCR),S305274,Negative,40,174557.83,174557.828125,-1,train,0,0
399,24189,N gene,Negative Control (qPCR),S305274,Negative,40,113986.38,113986.3828125,-1,train,0,0
439,24573,ORF1ab,Negative Control (qPCR),S305274,Negative,40,219978.53,219978.53125,-1,train,0,0
479,23805,MS2,Negative Control (qPCR),S305274,Negative,40,207752.23,207752.234375,-1,train,0,0
519,24958,S gene,Negative Control (qPCR),S305275,Negative,40,193131.25,193131.25,-1,train,0,0
559,24190,N gene,Negative Control (qPCR),S305275,Negative,40,124109.66,124109.65625,-1,train,0,0
599,24574,ORF1ab,Negative Control (qPCR),S305275,Negative,40,234353.98,234353.984375,-1,train,0,0
639,23806,MS2,Negative Control (qPCR),S305275,Negative,40,232127.86,232127.859375,-1,train,0,0
684,71605,RnaseP,Negative Control (qPCR),S849039,Negative,45,25628.566,25628.56640625,-1,train,0,0
729,70837,E gene,Negative Control (qPCR),S849039,Negative,45,306425.44,306425.4375,-1,train,0,0
774,71221,N gene,Negative Control (qPCR),S849039,Negative,45,109035.766,109035.765625,-1,train,0,0
819,71606,RnaseP,Negative Control (qPCR),S1078664,Negative,45,23652.088,23652.087890625,-1,train,0,0
864,70838,E gene,Negative Control (qPCR),S1078664,Negative,45,295886.53,295886.53125,-1,train,0,0
909,71222,N gene,Negative Control (qPCR),S1078664,Negative,45,103574.61,103574.609375,-1,train,0,0
954,71629,RnaseP,Negative Control (qPCR),S1078665,Negative,45,21578.953,21578.953125,-1,train,0,0
999,70861,E gene,Negative Control (qPCR),S1078665,Negative,45,264220.97,264220.96875,-1,train,0,0
1044,71245,N gene,Negative Control (qPCR),S1078665,Negative,45,87835.97,87835.96875,-1,train,0,0
1089,71630,RnaseP,Negative Control (qPCR),S1078666,Negative,45,22669.25,22669.25,-1,train,0,0
1134,70862,E gene,Negative Control (qPCR),S1078666,Negative,45,283351.7,283351.6875,-1,train,0,0
1179,71246,N gene,Negative Control (qPCR),S1078666,Negative,45,93878.68,93878.6796875,-1,train,0,0
1224,28389,RnaseP,Negative Control (qPCR),S543747,Negative,45,20434.342,20434.341796875,-1,test,0,0
1269,27621,E gene,Negative Control (qPCR),S543747,Negative,45,380606.7,380606.6875,-1,test,0,0
1314,28005,N gene,Negative Control (qPCR),S543747,Negative,45,95920.62,95920.6171875,-1,test,0,0
1359,28390,RnaseP,Negative Control (qPCR),S759602,Negative,45,21097.654,21097.654296875,-1,test,0,0
1404,27622,E gene,Negative Control (qPCR),S759602,Negative,45,375153.47,375153.46875,-1,test,0,0
1449,28006,N gene,Negative Control (qPCR),S759602,Negative,45,91933.46,91933.4609375,-1,test,0,0
1494,28413,RnaseP,Negative Control (qPCR),S759603,Negative,45,18866.385,18866.384765625,-1,train,0,0
1539,27645,E gene,Negative Control (qPCR),S759603,Negative,45,367571.56,367571.5625,-1,train,0,0
1584,28029,N gene,Negative Control (qPCR),S759603,Negative,45,85762.21,85762.2109375,-1,train,0,0
1629,28414,RnaseP,Negative Control (qPCR),S759604,Negative,45,21096.254,21096.25390625,-1,train,0,0
1674,27646,E gene,Negative Control (qPCR),S759604,Negative,45,380232.5,380232.5,-1,train,0,0
1719,28030,N gene,Negative Control (qPCR),S759604,Negative,45,93498.01,93498.0078125,-1,train,0,0
1764,68149,RnaseP,Negative Control (qPCR),S792891,Negative,45,24394.707,24394.70703125,-1,train,0,0
1809,67381,E gene,Negative Control (qPCR),S792891,Negative,45,459171.4,459171.40625,-1,train,0,0
1854,67765,N gene,Negative Control (qPCR),S792891,Negative,45,121505.31,121505.3125,-1,train,0,0
1899,68150,RnaseP,Negative Control (qPCR),S793094,Negative,45,25449.08,25449.080078125,-1,test,0,0
1944,67382,E gene,Negative Control (qPCR),S793094,Negative,45,446186.62,446186.625,-1,test,0,0
1989,67766,N gene,Negative Control (qPCR),S793094,Negative,45,119436.85,119436.8515625,-1,test,0,0
2034,68173,RnaseP,Negative Control (qPCR),S793095,Negative,45,23303.213,23303.212890625,-1,test,0,0
2079,67405,E gene,Negative Control (qPCR),S793095,Negative,45,428443.4,428443.40625,-1,test,0,0
2124,67789,N gene,Negative Control (qPCR),S793095,Negative,45,109639.2,109639.203125,-1,test,0,0
2169,68174,RnaseP,Negative Control (qPCR),S793096,Negative,45,25787.871,25787.87109375,-1,test,0,0
2214,67406,E gene,Negative Control (qPCR),S793096,Negative,45,464746.66,464746.65625,-1,test,0,0
2259,67790,N gene,Negative Control (qPCR),S793096,Negative,45,118012.984,118012.984375,-1,test,0,0
2304,62389,RnaseP,Negative Control (qPCR),S543577,Negative,45,26580.611,26580.611328125,-1,train,0,0
2349,61621,E gene,Negative Control (qPCR),S543577,Negative,45,254467.69,254467.6875,-1,train,0,0
2394,62005,N gene,Negative Control (qPCR),S543577,Negative,45,127132.33,127132.328125,-1,train,0,0
2439,62390,RnaseP,Negative Control (qPCR),S992194,Negative,45,23920.49,23920.490234375,-1,train,0,0
2484,61622,E gene,Negative Control (qPCR),S992194,Negative,45,238977.92,238977.921875,-1,train,0,0
2529,62006,N gene,Negative Control (qPCR),S992194,Negative,45,114795.984,114795.984375,-1,train,0,0
2574,62413,RnaseP,Negative Control (qPCR),S992195,Negative,45,21382.494,21382.494140625,-1,test,0,0
2619,61645,E gene,Negative Control (qPCR),S992195,Negative,45,220736.67,220736.671875,-1,test,0,0
2664,62029,N gene,Negative Control (qPCR),S992195,Negative,45,99847.164,99847.1640625,-1,test,0,0
2709,62414,RnaseP,Negative Control (qPCR),S992196,Negative,45,22345.688,22345.6875,-1,train,0,0
2754,61646,E gene,Negative Control (qPCR),S992196,Negative,45,230626.23,230626.234375,-1,train,0,0
2799,62030,N gene,Negative Control (qPCR),S992196,Negative,45,107479.125,107479.125,-1,train,0,0
2844,115381,RnaseP,Negative Control (qPCR),S849259,Negative,45,28687.871,28687.87109375,-1,test,0,0
2889,114613,E gene,Negative Control (qPCR),S849259,Negative,45,366923.38,366923.375,-1,test,0,0
2934,114997,N gene,Negative Control (qPCR),S849259,Negative,45,139698.34,139698.34375,-1,test,0,0
2979,115382,RnaseP,Negative Control (qPCR),S1078877,Negative,45,28444.229,28444.228515625,-1,train,0,0
3024,114614,E gene,Negative Control (qPCR),S1078877,Negative,45,366827.3,366827.3125,-1,train,0,0
3069,114998,N gene,Negative Control (qPCR),S1078877,Negative,45,142963.94,142963.9375,-1,train,0,0
3114,115405,RnaseP,Negative Control (qPCR),S1078878,Negative,45,26491.512,26491.51171875,-1,val,0,0
3159,114637,E gene,Negative Control (qPCR),S1078878,Negative,45,347382.25,347382.25,-1,val,0,0
3204,115021,N gene,Negative Control (qPCR),S1078878,Negative,45,132379.62,132379.625,-1,val,0,0
3249,115406,RnaseP,Negative Control (qPCR),S1078879,Negative,45,29504.98,29504.98046875,-1,train,0,0
3294,114638,E gene,Negative Control (qPCR),S1078879,Negative,45,354647.5,354647.5,-1,train,0,0
3339,115022,N gene,Negative Control (qPCR),S1078879,Negative,45,148503.14,148503.140625,-1,train,0,0
3384,61237,RnaseP,Negative Control (qPCR),S849146,Negative,45,26472.814,26472.814453125,-1,train,0,0
3429,60469,E gene,Negative Control (qPCR),S849146,Negative,45,258044.34,258044.34375,-1,train,0,0
3474,60853,N gene,Negative Control (qPCR),S849146,Negative,45,124564.02,124564.0234375,-1,train,0,0
3519,61238,RnaseP,Negative Control (qPCR),S986195,Negative,45,24122.51,24122.509765625,-1,train,0,0
3564,60470,E gene,Negative Control (qPCR),S986195,Negative,45,241999.5,241999.5,-1,train,0,0
3609,60854,N gene,Negative Control (qPCR),S986195,Negative,45,116217.44,116217.4375,-1,train,0,0
3654,61261,RnaseP,Negative Control (qPCR),S986196,Negative,45,21069.602,21069.6015625,-1,train,0,0
3699,60493,E gene,Negative Control (qPCR),S986196,Negative,45,218571.55,218571.546875,-1,train,0,0
3744,60877,N gene,Negative Control (qPCR),S986196,Negative,45,99902.79,99902.7890625,-1,train,0,0
3789,61262,RnaseP,Negative Control (qPCR),S986197,Negative,45,23460.355,23460.35546875,-1,test,0,0
3834,60494,E gene,Negative Control (qPCR),S986197,Negative,45,236532.25,236532.25,-1,test,0,0
3879,60878,N gene,Negative Control (qPCR),S986197,Negative,45,107281.375,107281.375,-1,test,0,0
3924,12197,RnaseP,Negative Control (qPCR),S543565,Negative,45,18203.19,18203.189453125,-1,train,0,0
3969,11429,E gene,Negative Control (qPCR),S543565,Negative,45,111612.516,111612.515625,-1,train,0,0
4014,11813,N gene,Negative Control (qPCR),S543565,Negative,45,98480.12,98480.1171875,-1,train,0,0
