"","well_position","cycle_no","target","rn","drn","amp_status","amp_score","cq","auto_threshold","threshold","baseline_start","baseline_end","file","dilution_level","covid_variant","Fn"
"1","A1",1,"RnaseP",15502.66309,1163.431414,"No Amp",1.444580245,"Undetermined",FALSE,20000,3,44,"dilution",100000,"Delta",15502.663
"2","A1",2,"RnaseP",15452.75391,957.8577758,"No Amp",1.444580245,"Undetermined",FALSE,20000,3,44,"dilution",100000,"Delta",15452.754
"3","A1",3,"RnaseP",15458.61523,808.0546453,"No Amp",1.444580245,"Undetermined",FALSE,20000,3,44,"dilution",100000,"Delta",15458.615
"4","A1",4,"RnaseP",15620.69824,814.4731946,"No Amp",1.444580245,"Undetermined",FALSE,20000,3,44,"dilution",100000,"Delta",15620.698
"5","A1",5,"RnaseP",15775.45313,813.5636188,"No Amp",1.444580245,"Undetermined",FALSE,20000,3,44,"dilution",100000,"Delta",15775.453
"6","A1",6,"RnaseP",15789.58105,672.02709,"No Amp",1.444580245,"Undetermined",FALSE,20000,3,44,"dilution",100000,"Delta",15789.581
"7","A1",7,"RnaseP",15746.32617,473.1077486,"No Amp",1.444580245,"Undetermined",FALSE,20000,3,44,"dilution",100000,"Delta",15746.326
"8","A1",8,"RnaseP",15756.95508,328.0721963,"No Amp",1.444580245,"Undetermined",FALSE,20000,3,44,"dilution",100000,"Delta",15756.955
"9","A1",9,"RnaseP",15787.41992,202.8725815,"No Amp",1.444580245,"Undetermined",FALSE,20000,3,44,"dilution",100000,"Delta",15787.42
"10","A1",10,"RnaseP",15883.6582,143.4464042,"No Amp",1.444580245,"Undetermined",FALSE,20000,3,44,"dilution",100000,"Delta",15883.658
"11","A1",11,"RnaseP",16022.43555,126.5592894,"No Amp",1.444580245,"Undetermined",FALSE,20000,3,44,"dilution",100000,"Delta",16022.436
"12","A1",12,"RnaseP",15908.72559,-142.8151301,"No Amp",1.444580245,"Undetermined",FALSE,20000,3,44,"dilution",100000,"Delta",15908.726
"13","A1",13,"RnaseP",15873.59277,-333.6124011,"No Amp",1.444580245,"Undetermined",FALSE,20000,3,44,"dilution",100000,"Delta",15873.593
"14","A1",14,"RnaseP",16057.2041,-305.6655316,"No Amp",1.444580245,"Undetermined",FALSE,20000,3,44,"dilution",100000,"Delta",16057.204
"15","A1",15,"RnaseP",16088.99414,-429.5399511,"No Amp",1.444580245,"Undetermined",FALSE,20000,3,44,"dilution",100000,"Delta",16088.994
"16","A1",16,"RnaseP",16220.85156,-453.3469877,"No Amp",1.444580245,"Undetermined",FALSE,20000,3,44,"dilution",100000,"Delta",16220.852
"17","A1",17,"RnaseP",16294.2666,-535.5964072,"No Amp",1.444580245,"Undetermined",FALSE,20000,3,44,"dilution",100000,"Delta",16294.267
"18","A1",18,"RnaseP",16414.66406,-570.8634049,"No Amp",1.444580245,"Undetermined",FALSE,20000,3,44,"dilution",100000,"Delta",16414.664
"19","A1",19,"RnaseP",16376.97363,-764.2182931,"No Amp",1.444580245,"Undetermined",FALSE,20000,3,44,"dilution",100000,"Delta",16376.974
"20","A1",20,"RnaseP",16427.70898,-869.1474001,"No Amp",1.444580245,"Undetermined",FALSE,20000,3,44,"dilution",100000,"Delta",16427.709
"21","A1",21,"RnaseP",16635.17188,-817.348968,"No Amp",1.444580245,"Undetermined",FALSE,20000,3,44,"dilution",100000,"Delta",16635.172
"22","A1",22,"RnaseP",16922.88867,-685.2966297,"No Amp",1.444580245,"Undetermined",FALSE,20000,3,44,"dilution",100000,"Delta",16922.889
"23","A1",23,"RnaseP",17082.94141,-680.9083539,"No Amp",1.444580245,"Undetermined",FALSE,20000,3,44,"dilution",100000,"Delta",17082.941
"24","A1",24,"RnaseP",17397.69727,-521.816953,"No Amp",1.444580245,"Undetermined",FALSE,20000,3,44,"dilution",100000,"Delta",17397.697
"25","A1",25,"RnaseP",17728.55859,-346.6200835,"No Amp",1.444580245,"Undetermined",FALSE,20000,3,44,"dilution",100000,"Delta",17728.559
"26","A1",26,"RnaseP",18085.89844,-144.9446983,"No Amp",1.444580245,"Undetermined",FALSE,20000,3,44,"dilution",100000,"Delta",18085.898
"27","A1",27,"RnaseP",18454.45508,67.94748379,"No Amp",1.444580245,"Undetermined",FALSE,20000,3,44,"dilution",100000,"Delta",18454.455
"28","A1",28,"RnaseP",18486.02539,-56.14666226,"No Amp",1.444580245,"Undetermined",FALSE,20000,3,44,"dilution",100000,"Delta",18486.025
"29","A1",29,"RnaseP",18782.94336,85.10684793,"No Amp",1.444580245,"Undetermined",FALSE,20000,3,44,"dilution",100000,"Delta",18782.943
"30","A1",30,"RnaseP",18794.52734,-58.97362624,"No Amp",1.444580245,"Undetermined",FALSE,20000,3,44,"dilution",100000,"Delta",18794.527
"31","A1",31,"RnaseP",19013.20898,4.043555827,"No Amp",1.444580245,"Undetermined",FALSE,20000,3,44,"dilution",100000,"Delta",19013.209
"32","A1",32,"RnaseP",19331.52539,166.6955035,"No Amp",1.444580245,"Undetermined",FALSE,20000,3,44,"dilution",100000,"Delta",19331.525
"33","A1",33,"RnaseP",19517.66797,197.1736231,"No Amp",1.444580245,"Undetermined",FALSE,20000,3,44,"dilution",100000,"Delta",19517.668
"34","A1",34,"RnaseP",19769.87891,293.720102,"No Amp",1.444580245,"Undetermined",FALSE,20000,3,44,"dilution",100000,"Delta",19769.879
"35","A1",35,"RnaseP",19874.74219,242.9189247,"No Amp",1.444580245,"Undetermined",FALSE,20000,3,44,"dilution",100000,"Delta",19874.742
"36","A1",36,"RnaseP",20106.27344,318.7857162,"No Amp",1.444580245,"Undetermined",FALSE,20000,3,44,"dilution",100000,"Delta",20106.273
"37","A1",37,"RnaseP",20176.7793,233.627117,"No Amp",1.444580245,"Undetermined",FALSE,20000,3,44,"dilution",100000,"Delta",20176.78
"38","A1",38,"RnaseP",20242.39453,143.5778928,"No Amp",1.444580245,"Undetermined",FALSE,20000,3,44,"dilution",100000,"Delta",20242.395
"39","A1",39,"RnaseP",20324.4082,69.92710615,"No Amp",1.444580245,"Undetermined",FALSE,20000,3,44,"dilution",100000,"Delta",20324.408
"40","A1",40,"RnaseP",20577.4375,167.2919445,"No Amp",1.444580245,"Undetermined",FALSE,20000,3,44,"dilution",100000,"Delta",20577.438
"41","A1",41,"RnaseP",20826.45508,260.645064,"No Amp",1.444580245,"Undetermined",FALSE,20000,3,44,"dilution",100000,"Delta",20826.455
"42","A1",42,"RnaseP",21031.24023,309.7657617,"No Amp",1.444580245,"Undetermined",FALSE,20000,3,44,"dilution",100000,"Delta",21031.24
"43","A1",43,"RnaseP",21218.46875,341.3298188,"No Amp",1.444580245,"Undetermined",FALSE,20000,3,44,"dilution",100000,"Delta",21218.469
"44","A1",44,"RnaseP",21464.93164,432.1282509,"No Amp",1.444580245,"Undetermined",FALSE,20000,3,44,"dilution",100000,"Delta",21464.932
"45","A1",45,"RnaseP",21506.74219,318.2743392,"No Amp",1.444580245,"Undetermined",FALSE,20000,3,44,"dilution",100000,"Delta",21506.742
"46","A1",1,"E gene",352175.4375,-473.7176339,"Amp",2.618476515,"17.03584192",FALSE,8000,3,10,"dilution",100000,"Delta",352175.44
"47","A1",2,"E gene",352523.4063,-194.6127232,"Amp",2.618476515,"17.03584192",FALSE,8000,3,10,"dilution",100000,"Delta",352523.4
"48","A1",3,"E gene",352839.9375,53.0546875,"Amp",2.618476515,"17.03584192",FALSE,8000,3,10,"dilution",100000,"Delta",352839.94
"49","A1",4,"E gene",352934.8125,79.06584821,"Amp",2.618476515,"17.03584192",FALSE,8000,3,10,"dilution",100000,"Delta",352934.8
"50","A1",5,"E gene",352896.4063,-28.20424107,"Amp",2.618476515,"17.03584192",FALSE,8000,3,10,"dilution",100000,"Delta",352896.4
"51","A1",6,"E gene",352846.375,-147.0993304,"Amp",2.618476515,"17.03584192",FALSE,8000,3,10,"dilution",100000,"Delta",352846.38
"52","A1",7,"E gene",352874.6563,-187.6819196,"Amp",2.618476515,"17.03584192",FALSE,8000,3,10,"dilution",100000,"Delta",352874.66
"53","A1",8,"E gene",353308.875,177.6729911,"Amp",2.618476515,"17.03584192",FALSE,8000,3,10,"dilution",100000,"Delta",353308.88
"54","A1",9,"E gene",353291.4063,91.34040179,"Amp",2.618476515,"17.03584192",FALSE,8000,3,10,"dilution",100000,"Delta",353291.4
"55","A1",10,"E gene",353230.7813,-38.1484375,"Amp",2.618476515,"17.03584192",FALSE,8000,3,10,"dilution",100000,"Delta",353230.78
"56","A1",11,"E gene",353588.6875,250.8939732,"Amp",2.618476515,"17.03584192",FALSE,8000,3,10,"dilution",100000,"Delta",353588.7
"57","A1",12,"E gene",354151.625,744.9676339,"Amp",2.618476515,"17.03584192",FALSE,8000,3,10,"dilution",100000,"Delta",354151.62
"58","A1",13,"E gene",354608.5938,1133.072545,"Amp",2.618476515,"17.03584192",FALSE,8000,3,10,"dilution",100000,"Delta",354608.6
"59","A1",14,"E gene",355026.2188,1481.833705,"Amp",2.618476515,"17.03584192",FALSE,8000,3,10,"dilution",100000,"Delta",355026.22
"60","A1",15,"E gene",356240.4688,2627.219866,"Amp",2.618476515,"17.03584192",FALSE,8000,3,10,"dilution",100000,"Delta",356240.47
"61","A1",16,"E gene",358120.625,4438.512277,"Amp",2.618476515,"17.03584192",FALSE,8000,3,10,"dilution",100000,"Delta",358120.62
"62","A1",17,"E gene",361754.5625,8003.585937,"Amp",2.618476515,"17.03584192",FALSE,8000,3,10,"dilution",100000,"Delta",361754.56
"63","A1",18,"E gene",367876.8125,14056.9721,"Amp",2.618476515,"17.03584192",FALSE,8000,3,10,"dilution",100000,"Delta",367876.8
"64","A1",19,"E gene",379461.125,25572.42076,"Amp",2.618476515,"17.03584192",FALSE,8000,3,10,"dilution",100000,"Delta",379461.12
"65","A1",20,"E gene",402874.625,48917.05692,"Amp",2.618476515,"17.03584192",FALSE,8000,3,10,"dilution",100000,"Delta",402874.62
"66","A1",21,"E gene",441216.9375,87190.50558,"Amp",2.618476515,"17.03584192",FALSE,8000,3,10,"dilution",100000,"Delta",441216.94
"67","A1",22,"E gene",489341.3125,135246.0167,"Amp",2.618476515,"17.03584192",FALSE,8000,3,10,"dilution",100000,"Delta",489341.3
"68","A1",23,"E gene",537948.1875,183784.0279,"Amp",2.618476515,"17.03584192",FALSE,8000,3,10,"dilution",100000,"Delta",537948.2
"69","A1",24,"E gene",575439.75,221206.7266,"Amp",2.618476515,"17.03584192",FALSE,8000,3,10,"dilution",100000,"Delta",575439.75
"70","A1",25,"E gene",602631.4375,248329.5502,"Amp",2.618476515,"17.03584192",FALSE,8000,3,10,"dilution",100000,"Delta",602631.44
"71","A1",26,"E gene",623933.4375,269562.6864,"Amp",2.618476515,"17.03584192",FALSE,8000,3,10,"dilution",100000,"Delta",623933.44
"72","A1",27,"E gene",640909.375,286469.76,"Amp",2.618476515,"17.03584192",FALSE,8000,3,10,"dilution",100000,"Delta",640909.4
"73","A1",28,"E gene",654324.375,299815.8962,"Amp",2.618476515,"17.03584192",FALSE,8000,3,10,"dilution",100000,"Delta",654324.4
"74","A1",29,"E gene",665444.375,310867.0324,"Amp",2.618476515,"17.03584192",FALSE,8000,3,10,"dilution",100000,"Delta",665444.4
"75","A1",30,"E gene",674011.1875,319364.981,"Amp",2.618476515,"17.03584192",FALSE,8000,3,10,"dilution",100000,"Delta",674011.2
"76","A1",31,"E gene",681744.8125,327029.7422,"Amp",2.618476515,"17.03584192",FALSE,8000,3,10,"dilution",100000,"Delta",681744.8
"77","A1",32,"E gene",688414.4375,333630.5033,"Amp",2.618476515,"17.03584192",FALSE,8000,3,10,"dilution",100000,"Delta",688414.44
"78","A1",33,"E gene",693947.9375,339095.1395,"Amp",2.618476515,"17.03584192",FALSE,8000,3,10,"dilution",100000,"Delta",693947.94
"79","A1",34,"E gene",697968.5625,343046.9007,"Amp",2.618476515,"17.03584192",FALSE,8000,3,10,"dilution",100000,"Delta",697968.56
"80","A1",35,"E gene",701141.625,346151.0993,"Amp",2.618476515,"17.03584192",FALSE,8000,3,10,"dilution",100000,"Delta",701141.6
"81","A1",36,"E gene",703335.3125,348275.923,"Amp",2.618476515,"17.03584192",FALSE,8000,3,10,"dilution",100000,"Delta",703335.3
"82","A1",37,"E gene",705024.875,349896.6217,"Amp",2.618476515,"17.03584192",FALSE,8000,3,10,"dilution",100000,"Delta",705024.9
"83","A1",38,"E gene",708524.625,353327.5078,"Amp",2.618476515,"17.03584192",FALSE,8000,3,10,"dilution",100000,"Delta",708524.6
"84","A1",39,"E gene",711299.0625,356033.0815,"Amp",2.618476515,"17.03584192",FALSE,8000,3,10,"dilution",100000,"Delta",711299.06
"85","A1",40,"E gene",713229.625,357894.7801,"Amp",2.618476515,"17.03584192",FALSE,8000,3,10,"dilution",100000,"Delta",713229.6
"86","A1",41,"E gene",714466.5625,359062.8538,"Amp",2.618476515,"17.03584192",FALSE,8000,3,10,"dilution",100000,"Delta",714466.56
"87","A1",42,"E gene",715305.0625,359832.49,"Amp",2.618476515,"17.03584192",FALSE,8000,3,10,"dilution",100000,"Delta",715305.06
"88","A1",43,"E gene",716046.625,360505.1886,"Amp",2.618476515,"17.03584192",FALSE,8000,3,10,"dilution",100000,"Delta",716046.6
"89","A1",44,"E gene",719021.9375,363411.6373,"Amp",2.618476515,"17.03584192",FALSE,8000,3,10,"dilution",100000,"Delta",719021.94
"90","A1",45,"E gene",720201.1875,364522.0234,"Amp",2.618476515,"17.03584192",FALSE,8000,3,10,"dilution",100000,"Delta",720201.2
"91","A1",1,"N gene",113397.8281,-2052.449913,"Amp",2.771321017,"17.36853524",FALSE,14000,3,11,"dilution",100000,"Delta",113397.83
"92","A1",2,"N gene",113869.5703,-1906.701606,"Amp",2.771321017,"17.36853524",FALSE,14000,3,11,"dilution",100000,"Delta",113869.57
"93","A1",3,"N gene",115414.4141,-687.8517361,"Amp",2.771321017,"17.36853524",FALSE,14000,3,11,"dilution",100000,"Delta",115414.414
"94","A1",4,"N gene",116666.8203,238.5606337,"Amp",2.771321017,"17.36853524",FALSE,14000,3,11,"dilution",100000,"Delta",116666.82
