Well,Well Position,Cycle Number,ATTO 647,VIC,FAM
1,A1,1,15502.663,352175.44,113397.83
1,A1,2,15452.754,352523.4,113869.57
1,A1,3,15458.615,352839.94,115414.414
1,A1,4,15620.698,352934.8,116666.82
1,A1,5,15775.453,352896.4,117081.234
1,A1,6,15789.581,352846.38,117139.766
1,A1,7,15746.326,352874.66,117761.53
1,A1,8,15756.955,353308.88,117841.42
1,A1,9,15787.42,353291.4,118093.91
1,A1,10,15883.658,353230.78,118137.56
1,A1,11,16022.436,353588.7,118519.516
1,A1,12,15908.726,354151.62,118736.65
1,A1,13,15873.593,354608.6,119538.336
1,A1,14,16057.204,355026.22,120215.3
1,A1,15,16088.994,356240.47,122390.85
1,A1,16,16220.852,358120.62,125440.34
1,A1,17,16294.267,361754.56,131564.64
1,A1,18,16414.664,367876.8,144124.3
1,A1,19,16376.974,379461.12,167590.75
1,A1,20,16427.709,402874.62,207761.4
1,A1,21,16635.172,441216.94,271833.6
1,A1,22,16922.889,489341.3,356069.2
1,A1,23,17082.941,537948.2,445247.38
1,A1,24,17397.697,575439.75,537498.6
1,A1,25,17728.559,602631.44,620686.25
1,A1,26,18085.898,623933.44,690993.9
1,A1,27,18454.455,640909.4,749366.5
1,A1,28,18486.025,654324.4,801441.06
1,A1,29,18782.943,665444.4,839943.7
1,A1,30,18794.527,674011.2,869520.5
1,A1,31,19013.209,681744.8,896902.75
1,A1,32,19331.525,688414.44,916313.25
1,A1,33,19517.668,693947.94,934570.94
1,A1,34,19769.879,697968.56,948002.25
1,A1,35,19874.742,701141.6,958224.6
1,A1,36,20106.273,703335.3,965734.75
1,A1,37,20176.78,705024.9,972460.06
1,A1,38,20242.395,708524.6,980593.75
1,A1,39,20324.408,711299.06,986965.44
1,A1,40,20577.438,713229.6,990313.7
1,A1,41,20826.455,714466.56,994101.94
1,A1,42,21031.24,715305.06,1000006.5
1,A1,43,21218.469,716046.6,1001831.75
1,A1,44,21464.932,719021.94,1003405.1
1,A1,45,21506.742,720201.2,1005851.8
2,A2,1,15352.09,333548.6,57881.94
2,A2,2,15355.046,333079.12,57958.047
2,A2,3,15395.688,332607.38,58449.56
