well_position,cycle_no,target,rn,drn,amp_status,amp_score,cq,auto_threshold,threshold,baseline_start,baseline_end,file,dilution_level,covid_variant,Fn,curve_idx,ct,igi_call,groundtruth_target,Igi_call_quant,igi_fp,igi_fn,split
A1,40,RnaseP,20577.4375,167.2919445,No Amp,1.444580245,Undetermined,False,20000,3,44,dilution,100000,Delta,20577.438,192_known,,Negative,1,0,0,1,test
A1,40,E gene,713229.625,357894.7801,Amp,2.618476515,17.03584192,False,8000,3,10,dilution,100000,Delta,713229.6,0_known,17.0,Positive,1,1,0,0,test
A1,40,N gene,990313.6875,862149.6481,Amp,2.771321017,17.36853524,False,14000,3,11,dilution,100000,Delta,990313.7,96_known,18.0,Positive,1,1,0,0,test
A3,40,RnaseP,16010.00879,1922.211812,No Amp,1.438040385,Undetermined,False,20000,3,23,dilution,10000,Delta,16010.009,200_known,,Negative,1,0,0,1,test
A3,40,E gene,620227.1875,298758.4181,Amp,2.582723579,21.15626329,False,8000,3,15,dilution,10000,Delta,620227.2,8_known,22.0,Positive,1,1,0,0,test
A3,40,N gene,928640.6875,820181.2679,Amp,2.757696294,20.66449879,False,14000,3,13,dilution,10000,Delta,928640.7,104_known,21.0,Positive,1,1,0,0,test
A5,40,RnaseP,19992.17188,1254.888655,No Amp,1.494467071,Undetermined,False,20000,3,24,dilution,1000,Delta,19992.172,201_known,,Negative,1,0,0,1,test
A5,40,E gene,642876.0,301973.2914,Amp,2.596527497,24.32888554,False,8000,3,14,dilution,1000,Delta,642876.0,9_known,25.0,Positive,1,1,0,0,test
A5,40,N gene,929585.875,805581.8597,Amp,2.766508668,23.97321275,False,14000,3,18,dilution,1000,Delta,929585.9,105_known,24.0,Positive,1,1,0,0,test
A7,40,RnaseP,29141.92773,9954.545432,No Amp,1.831459206,Undetermined,False,20000,3,26,dilution,100,Delta,29141.928,202_known,,Negative,1,0,0,1,test
A7,40,E gene,600856.8125,247156.5145,Amp,2.561713927,27.66642559,False,8000,3,20,dilution,100,Delta,600856.8,10_known,28.0,Positive,1,1,0,0,test
A7,40,N gene,768248.125,646015.9825,Amp,2.730033601,27.59694104,False,14000,3,22,dilution,100,Delta,768248.1,106_known,28.0,Positive,1,1,0,0,test
A9,40,RnaseP,16774.68164,264.3777416,No Amp,1.047100406,Undetermined,False,20000,3,44,dilution,100,Delta,16774.682,203_known,,Negative,1,0,0,1,test
A9,40,E gene,591572.75,258268.888,Amp,2.581484611,27.93320513,False,8000,3,23,dilution,100,Delta,591572.75,11_known,28.0,Positive,1,1,0,0,test
A9,40,N gene,753153.0625,641902.0439,Amp,2.737564865,27.68980436,False,14000,3,21,dilution,100,Delta,753153.06,107_known,28.0,Positive,1,1,0,0,test
A11,40,RnaseP,19625.60352,64.61317047,No Amp,0.0,Undetermined,False,20000,3,44,dilution,10,Delta,19625.604,193_known,,Negative,1,0,0,1,test
A11,40,E gene,514640.4688,172607.0249,Amp,2.508137179,31.14121688,False,8000,3,22,dilution,10,Delta,514640.47,1_known,32.0,Positive,1,1,0,0,test
A11,40,N gene,636114.8125,498493.1764,Amp,2.708581702,30.37186351,False,14000,3,22,dilution,10,Delta,636114.8,97_known,31.0,Positive,1,1,0,0,test
A13,40,RnaseP,19756.29688,32.15418762,No Amp,0.0,Undetermined,False,20000,3,44,dilution,10,Delta,19756.297,194_known,,Negative,1,0,0,1,test
A13,40,E gene,518302.1875,172861.1078,Amp,2.512161042,30.90886457,False,8000,3,20,dilution,10,Delta,518302.2,2_known,31.0,Positive,1,1,0,0,test
A13,40,N gene,569890.75,437756.2971,Amp,2.684665224,30.68876443,False,14000,3,23,dilution,10,Delta,569890.75,98_known,31.0,Positive,1,1,0,0,test
A15,40,RnaseP,19402.02344,-43.49634233,No Amp,0.0,Undetermined,False,20000,3,44,dilution,1,Delta,19402.023,195_known,,Negative,1,0,0,1,test
A15,40,E gene,404459.0313,57443.7674,Amp,2.290033184,33.97469191,False,8000,3,28,dilution,1,Delta,404459.03,3_known,35.0,Positive,1,1,0,0,test
A15,40,N gene,334940.7188,202641.4063,Amp,2.553621525,33.20108292,False,14000,3,24,dilution,1,Delta,334940.72,99_known,34.0,Positive,1,1,0,0,test
A17,40,RnaseP,18576.10742,76.46030724,No Amp,0.0,Undetermined,False,20000,3,44,dilution,1,Delta,18576.107,196_known,,Negative,1,0,0,1,test
A17,40,E gene,380487.6563,43023.66787,Amp,2.228978539,34.39146219,False,8000,3,26,dilution,1,Delta,380487.66,4_known,35.0,Positive,1,1,0,0,test
A17,40,N gene,321956.0313,187367.4333,Amp,2.536309829,33.26910745,False,14000,3,25,dilution,1,Delta,321956.03,100_known,34.0,Positive,1,1,0,0,test
A19,40,RnaseP,20145.58203,24.40822307,No Amp,0.0,Undetermined,False,20000,3,44,dilution,100000,Omicron,20145.582,197_known,,Negative,1,0,0,1,test
A19,40,E gene,659422.875,313172.2665,Amp,2.58757758,18.54899724,False,8000,3,12,dilution,100000,Omicron,659422.9,5_known,19.0,Positive,1,1,0,0,test
A19,40,N gene,896299.8125,763013.6096,Amp,2.721843439,18.50368864,False,14000,3,11,dilution,100000,Omicron,896299.8,101_known,19.0,Positive,1,1,0,0,test
A21,40,RnaseP,18887.67773,69.93070919,No Amp,0.0,Undetermined,False,20000,3,44,dilution,1000,Omicron,18887.678,198_known,,Negative,1,0,0,1,test
A21,40,E gene,647208.75,289757.1846,Amp,2.587212904,25.40273542,False,8000,3,19,dilution,1000,Omicron,647208.75,6_known,26.0,Positive,1,1,0,0,test
A21,40,N gene,810986.75,674302.3711,Amp,2.721838284,25.24890293,False,14000,3,17,dilution,1000,Omicron,810986.75,102_known,26.0,Positive,1,1,0,0,test
A23,40,RnaseP,18328.20313,62.31761058,No Amp,0.0,Undetermined,False,20000,3,44,dilution,1,Omicron,18328.203,199_known,,Negative,1,0,0,1,test
A23,40,E gene,357316.1563,-53.03826591,No Amp,0.0,Undetermined,False,8000,3,44,dilution,1,Omicron,357316.16,7_known,,Negative,1,0,0,1,test
A23,40,N gene,123888.5625,44.9448759,No Amp,0.0,Undetermined,False,14000,3,44,dilution,1,Omicron,123888.56,103_known,,Negative,1,0,0,1,test
C1,40,RnaseP,18506.67578,-51.79916813,No Amp,0.0,Undetermined,False,20000,3,44,dilution,100000,Delta,18506.676,204_known,,Negative,1,0,0,1,test
C1,40,E gene,708411.5625,346875.4148,Amp,2.618538716,17.47314652,False,8000,3,12,dilution,100000,Delta,708411.56,12_known,18.0,Positive,1,1,0,0,test
C1,40,N gene,1038194.125,914617.3471,Amp,2.781401635,17.16622045,False,14000,3,10,dilution,100000,Delta,1038194.1,108_known,18.0,Positive,1,1,0,0,test
C3,40,RnaseP,21892.49805,2851.45012,No Amp,1.552867496,Undetermined,False,20000,3,22,dilution,10000,Delta,21892.498,212_known,,Negative,1,0,0,1,test
C3,40,E gene,656425.5625,319664.0205,Amp,2.5963696,20.80309294,False,8000,3,14,dilution,10000,Delta,656425.56,20_known,21.0,Positive,1,1,0,0,test
C3,40,N gene,936185.125,819431.858,Amp,2.760655646,20.5903722,False,14000,3,12,dilution,10000,Delta,936185.1,116_known,21.0,Positive,1,1,0,0,test
C5,40,RnaseP,33290.00391,14148.34688,No Amp,1.856780871,Undetermined,False,20000,3,20,dilution,1000,Delta,33290.004,213_known,,Negative,1,0,0,1,test
C5,40,E gene,626392.6875,287765.9908,Amp,2.58834224,24.58693539,False,8000,3,20,dilution,1000,Delta,626392.7,21_known,25.0,Positive,1,1,0,0,test
C5,40,N gene,877200.0,753836.7341,Amp,2.753855092,24.16215377,False,14000,3,17,dilution,1000,Delta,877200.0,117_known,25.0,Positive,1,1,0,0,test
C7,40,RnaseP,65268.25,46397.92464,Amp,2.152034261,33.44306373,False,20000,3,24,dilution,100,Delta,65268.25,214_known,34.0,Positive,1,1,0,0,test
C7,40,E gene,562464.75,215555.6415,Amp,2.533489719,27.81551383,False,8000,3,23,dilution,100,Delta,562464.75,22_known,28.0,Positive,1,1,0,0,test
C7,40,N gene,698257.0625,590970.9117,Amp,2.703891742,27.48394577,False,14000,3,21,dilution,100,Delta,698257.06,118_known,28.0,Positive,1,1,0,0,test
C9,40,RnaseP,21501.05859,181.0068535,No Amp,1.464568711,Undetermined,False,20000,3,44,dilution,100,Delta,21501.059,215_known,,Negative,1,0,0,1,test
C9,40,E gene,602129.125,256711.0891,Amp,2.5776693,27.82507917,False,8000,3,20,dilution,100,Delta,602129.1,23_known,28.0,Positive,1,1,0,0,test
C9,40,N gene,795107.25,667748.6808,Amp,2.745301142,27.44365153,False,14000,3,21,dilution,100,Delta,795107.25,119_known,28.0,Positive,1,1,0,0,test
C11,40,RnaseP,20577.32227,823.7385726,No Amp,1.491323736,Undetermined,False,20000,3,14,dilution,10,Delta,20577.322,205_known,,Negative,1,0,0,1,test
C11,40,E gene,458704.875,157484.1061,Amp,2.498023337,31.43712259,False,8000,3,24,dilution,10,Delta,458704.88,13_known,32.0,Positive,1,1,0,0,test
C11,40,N gene,974845.8125,597583.0996,Amp,2.759427577,30.4172328,False,14000,3,22,dilution,10,Delta,974845.8,109_known,31.0,Positive,1,1,0,0,test
C13,40,RnaseP,19966.57813,417.4030152,No Amp,1.414358892,Undetermined,False,20000,3,35,dilution,10,Delta,19966.578,206_known,,Negative,1,0,0,1,test
C13,40,E gene,488797.8125,163124.0655,Amp,2.499892486,31.67233059,False,8000,3,23,dilution,10,Delta,488797.8,14_known,32.0,Positive,1,1,0,0,test
C13,40,N gene,537346.6875,408431.1359,Amp,2.68109646,31.30115479,False,14000,3,25,dilution,10,Delta,537346.7,110_known,32.0,Positive,1,1,0,0,test
C15,40,RnaseP,20151.29883,144.8929635,No Amp,0.0,Undetermined,False,20000,3,44,dilution,1,Delta,20151.299,207_known,,Negative,1,0,0,1,test
C15,40,E gene,398983.8125,65307.26564,Amp,2.32629192,34.03297222,False,8000,3,29,dilution,1,Delta,398983.8,15_known,35.0,Positive,1,1,0,0,test
C15,40,N gene,236063.6719,120037.8166,Amp,2.470464444,34.47255712,False,14000,3,26,dilution,1,Delta,236063.67,111_known,35.0,Positive,1,1,0,0,test
C17,40,RnaseP,19828.58789,171.0564489,No Amp,0.0,Undetermined,False,20000,3,44,dilution,1,Delta,19828.588,208_known,,Negative,1,0,0,1,test
C17,40,E gene,379046.4688,42447.49982,Amp,2.22530255,34.33102698,False,8000,3,28,dilution,1,Delta,379046.47,16_known,35.0,Positive,1,1,0,0,test
C17,40,N gene,264489.4688,127764.0068,Amp,2.452391657,33.91003498,False,14000,3,27,dilution,1,Delta,264489.47,112_known,34.0,Positive,1,1,0,0,test
C19,40,RnaseP,20178.60352,55.73580549,No Amp,0.0,Undetermined,False,20000,3,44,dilution,100000,Omicron,20178.604,209_known,,Negative,1,0,0,1,test
C19,40,E gene,669948.125,314825.4951,Amp,2.591747115,18.54665803,False,8000,3,12,dilution,100000,Omicron,669948.1,17_known,19.0,Positive,1,1,0,0,test
C19,40,N gene,908203.6875,777050.4976,Amp,2.7205897,18.52852309,False,14000,3,13,dilution,100000,Omicron,908203.7,113_known,19.0,Positive,1,1,0,0,test
C21,40,RnaseP,18894.29688,74.67026531,No Amp,0.0,Undetermined,False,20000,3,44,dilution,1000,Omicron,18894.297,210_known,,Negative,1,0,0,1,test
C21,40,E gene,618654.6875,273592.2517,Amp,2.579835894,25.54568704,False,8000,3,19,dilution,1000,Omicron,618654.7,18_known,26.0,Positive,1,1,0,0,test
C21,40,N gene,794160.5625,656386.7436,Amp,2.718472661,25.38261596,False,14000,3,19,dilution,1000,Omicron,794160.56,114_known,26.0,Positive,1,1,0,0,test
C23,40,RnaseP,17939.94727,-34.29593455,No Amp,0.0,Undetermined,False,20000,3,44,dilution,1,Omicron,17939.947,211_known,,Negative,1,0,0,1,test
C23,40,E gene,370739.5938,29757.79575,Amp,2.164662385,35.22061639,False,8000,3,27,dilution,1,Omicron,370739.6,19_known,36.0,Positive,1,1,0,0,test
C23,40,N gene,187727.2031,64935.43739,Amp,2.32674811,35.23632315,False,14000,3,28,dilution,1,Omicron,187727.2,115_known,36.0,Positive,1,1,0,0,test
E1,40,RnaseP,19231.42383,47.22448087,No Amp,1.438458872,Undetermined,False,20000,3,44,dilution,100000,Delta,19231.424,216_known,,Negative,1,0,0,1,test
E1,40,E gene,658666.8125,319290.5371,Amp,2.6025443,17.66561925,False,8000,3,12,dilution,100000,Delta,658666.8,24_known,18.0,Positive,1,1,0,0,test
E1,40,N gene,960299.4375,844673.8044,Amp,2.765628182,17.3031488,False,14000,3,10,dilution,100000,Delta,960299.44,120_known,18.0,Positive,1,1,0,0,test
E3,40,RnaseP,20904.14453,2948.295039,No Amp,1.552848212,Undetermined,False,20000,3,22,dilution,10000,Delta,20904.145,224_known,,Negative,1,0,0,1,test
E3,40,E gene,646879.75,314717.4339,Amp,2.594752658,20.92567216,False,8000,3,15,dilution,10000,Delta,646879.75,32_known,21.0,Positive,1,1,0,0,test
E3,40,N gene,902724.3125,804328.4825,Amp,2.755760517,20.71750067,False,14000,3,13,dilution,10000,Delta,902724.3,128_known,21.0,Positive,1,1,0,0,test
